dialog_id,title,turn_count,turn,author,text,N-gram labels,Cosine label,All labels,Intersection,Union (without disambiguities)
counsel_chat | 0,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 0,Can I change my feeling of being worthless to everyone?,2,2,listener,"If everyone thinks you're worthless, then maybe you need to find new people to hang out with.Seriously, the social context in which a person lives is a big influence in self-esteem.Otherwise, you can go round and round trying to understand why you're not worthless, then go back to the same crowd and be knocked down again.There are many inspirational messages you can find in social media.",,,,,
counsel_chat | 0,Can I change my feeling of being worthless to everyone?,2,2,listener,"Maybe read some of the ones which state that no person is worthless, and that everyone has a good purpose to their life.Also, since our culture is so saturated with the belief that if someone doesn't feel good about themselves that this is somehow terrible.Bad feelings are part of living.",,,,,
counsel_chat | 0,Can I change my feeling of being worthless to everyone?,2,2,listener,They are the motivation to remove ourselves from situations and relationships which do us more harm than good.Bad feelings do feel terrible.,,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 0,Can I change my feeling of being worthless to everyone?,2,2,listener,Your feeling of worthlessness may be good in the sense of motivating you to find out that you are much better than your feelings today.,,,,,
counsel_chat | 3,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 3,Can I change my feeling of being worthless to everyone?,2,2,listener,Therapy is essential for those that are feeling depressed and worthless.,,,,,
counsel_chat | 3,Can I change my feeling of being worthless to everyone?,2,2,listener,When I work with those that are experiencing concerns related to feeling of depression and issues with self esteem.,,,,,
counsel_chat | 3,Can I change my feeling of being worthless to everyone?,2,2,listener,"I generally work with my client to help build coping skills to reduce level of depression and to assist with strengthening  self esteem, by guiding my client with CBT practices.",,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 3,Can I change my feeling of being worthless to everyone?,2,2,listener,"CBT helps with gaining a better awareness of how your thought process influences your belief system, and how your beliefs impact your actions and the outcome of your behaviors.",,,,,
counsel_chat | 3,Can I change my feeling of being worthless to everyone?,2,2,listener,"This process isn’t easy but it helps teach an individual that we don’t always have control over what happens in our lives but we can control how we interpret, feel, and behave.",,,,,
counsel_chat | 3,Can I change my feeling of being worthless to everyone?,2,2,listener,"CBT is good for individuals dealing with depression, anxiety, toxic relationships, stress, self esteem, codependency, etc.",,,,,
counsel_chat | 4,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 4,Can I change my feeling of being worthless to everyone?,2,2,listener,I first want to let you know that you are not alone in your feelings and there is always someone there to help.,"['Support', 'Advise without Permission']",Support,"['Support', 'Advise without Permission']",Support,Support
counsel_chat | 4,Can I change my feeling of being worthless to everyone?,2,2,listener,You can always change your feelings and change your way of thinking by being open to trying to change.,,,,,
counsel_chat | 4,Can I change my feeling of being worthless to everyone?,2,2,listener,You can always make yourself available to learning new things or volunteering so that you can make a purpose for yourself.,"['Advise with Permission', 'Advise without Permission']",,"['Advise with Permission', 'Advise without Permission']",,
counsel_chat | 6,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 6,Can I change my feeling of being worthless to everyone?,2,2,listener,You are exhibiting some specific traits of a particular temperament type.,,Affirm,['Affirm'],,Affirm
counsel_chat | 6,Can I change my feeling of being worthless to everyone?,2,2,listener,Seek out a counselor who provides NCCA temperament therapy and discover the joy of being you -- God loves you as you are!,,,,,
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,2,listener,It sounds like you may be putting yourself last.,"['Simple Reflection', 'Complex Reflection', 'Affirm']",,"['Simple Reflection', 'Complex Reflection', 'Affirm']",,
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,2,listener,You wrote that you want to fix your issues but never get around to it.,,,,,
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,2,listener,I wonder how you are spending your mental and physical energy.,,,,,
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,2,listener,Are you spending time taking care of and doing for others?,,,,,
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,2,listener,I also wonder where the thoughts and feelings of being worthless are coming from - are you around people who treat you poorly or are hurtful?,,,,,
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,2,listener,Or do you feel it is more of a worry you have but aren't really sure how others feel?,,Give Information,['Give Information'],,Give Information
counsel_chat | 8,Can I change my feeling of being worthless to everyone?,2,2,listener,It may be helpful to talk to someone about your feelings - a counselor perhaps - to clarify your feelings and move forward from se that are hurting you.,"['Advise with Permission', 'Advise without Permission']",Advise without Permission,"['Advise with Permission', 'Advise without Permission']",Advise without Permission,Advise without Permission
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,2,listener,It sounds like you may be struggling with depression.,"['Simple Reflection', 'Complex Reflection', 'Affirm']",Give Information,"['Simple Reflection', 'Complex Reflection', 'Affirm', 'Give Information']",,
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,2,listener,Depression can make you feel overwhelmed and paralyzed to change.,,Give Information,['Give Information'],,Give Information
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,2,listener,I would suggest that you connect with a provider who can help you get to the root of where the worthlessness is coming from and help you develop a plan for recovery.,['Advise without Permission'],,['Advise without Permission'],,Advise without Permission
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,2,listener,"In the meantime, small steps can go a long way.",,,,,
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,2,listener,"Self-care interventions such as journaling your feelings, mindfulness meditation, and regular exercise are all helpful to reconnecting with the present moment and gaining internal motivation.",,,,,
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,2,listener,Focusing on one day at a time and bringing your thoughts back to the present can also be beneficial.,,,,,
counsel_chat | 12,Can I change my feeling of being worthless to everyone?,2,2,listener,There is hope!,,Support,['Support'],,Support
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,I'm glad you are interested in changing your feelings of worthlessness.,,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,Visiting your doctor is a great first step to address your lack of sleep.,,,,,
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,"First, you want to make sure that you are physically healthy and that there isn't a physical condition causing your problem with sleep.",,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,"Changing your feelings is something that is difficult to do, especially on your own.",,Give Information,['Give Information'],,Give Information
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,Make sure that you have someone you can trust and you can talk to about how you feel.,,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,This can be a friend or a family member.,,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,"If you find that there isn't anyone you would feel comfortable talking to about this issue, find a therapist close to you who can help.",,Advise without Permission,['Advise without Permission'],,Advise without Permission
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,One activity that people have found helpful in feeling better about themselves is keeping a gratitude journal.,,,,,
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,You can do this by journaling daily about the things that you are grateful for.,,,,,
counsel_chat | 13,Can I change my feeling of being worthless to everyone?,2,2,listener,"There is no right or wrong way of doing this, as long as you focus your journal entries on the things you are grateful for in life.",,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,Oftentimes we can change our feelings about ourselves by building a better relationship with ourself.,,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,It sounds like there is a very critical aspect of your self that is alive and taking over.,,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,"Sometimes when we are stuck it is because a part of ourselves, a way that perhaps we learned to cope with difficult situations earlier in our lives, has decided to run the show.",,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,Like a highly critical part that may actually be desperately attempting to protect us from a past hurt.,,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,Slowing down and even forming a relationship with this critical internal part will help you get some space from it.,,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,"When we can begin to observe parts of ourselves, be curious about them, get to know them like a new friend, then we have room for other ways of being.",,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,Beginning therapy could be a great way to change this feeling of worthlessness.,,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,Beginning to build a better relationship and understanding of yourself will deeply influence the relationships around you.,,,,,
counsel_chat | 18,Can I change my feeling of being worthless to everyone?,2,2,listener,"This first step may feel hard, to reach out to someone, and it could be the beginning step to a path of radically shifting your relationship with yourself and others in your life.","['Give Information', 'Advise without Permission']",,"['Give Information', 'Advise without Permission']",,
counsel_chat | 19,Can I change my feeling of being worthless to everyone?,2,1,speaker,"I'm going through some things with my feelings and myself. I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.
   I've never tried or contemplated suicide. I've always wanted to fix my issues, but I never get around to it.
   How can I change my feeling of being worthless to everyone?",,,,,
counsel_chat | 19,Can I change my feeling of being worthless to everyone?,2,2,listener,Feelings of worthlessness often originate  from what you learned about yourself when you were young.,,,,,
counsel_chat | 19,Can I change my feeling of being worthless to everyone?,2,2,listener,"Improving your self esteem needs focus on that original message from parents, teachers or siblings that may be suppressed.",,,,,
