text:Advise without permission:give the police that ip address. Advise with permission:	labels:I wonder if you can give the police that ip address.	episode_done:True
text:Advise without permission:gotta start with the things you enjoy and build on them. Advise with permission:	labels:It maybe helpful to gotta start with the things you enjoy and build on them.	episode_done:True
text:Advise without permission:You could do something good with your life. Advise with permission:	labels:I also think it would be valuable for you to start engaging in things outside of the home that make you happy.	episode_done:True
text:Advise without permission:It won't make you miss her less but it will give you something you can enjoy that isn't touched by her loss. Advise with permission:	labels:You can reassure her that you like her (if that's true), but you don't have to pity her.	episode_done:True
text:Advise without permission:think of it like a game of chess, don't think about how many times you lost. Advise with permission:	labels:I encourage you to think of it like a game of chess, don't think about how many times you lost.	episode_done:True
text:Advise without permission:walk a neighbor’s dog. Advise with permission:	labels:It may be important to walk a neighbor’s dog.	episode_done:True
text:Advise without permission:think about the qualities in this girl you love, and seek them out in other people. Advise with permission:	labels:You may want to think about the qualities in this girl you love, and seek them out in other people.	episode_done:True
text:Advise without permission:concentrate on you and find a path you want to follow. Advise with permission:	labels:I encourage you to concentrate on you and find a path you want to follow.	episode_done:True
text:Advise without permission:take care friend and come back and don't hesitate to talk to us whenever you need to. Advise with permission:	labels:An option would be to take care friend and come back and don't hesitate to talk to us whenever you need to.	episode_done:True
text:Advise without permission:pay attention to your blinking eyes, to your beating heart, to everything you see and feel and hear. Advise with permission:	labels:Perhaps you can pay attention to your blinking eyes, to your beating heart, to everything you see and feel and hear.	episode_done:True
text:Advise without permission:I think you will feel less dead if you can find someone you trust to talk to. Advise with permission:	labels:If you have someone you trust, you can ask for their help as well since most likely they see you differently than you see yourself.	episode_done:True
text:Advise without permission:Real talk you should speak with a counselor or psychiatrist to address any underlying cause. Advise with permission:	labels:It can be helpful to address this big "elephant in the room" and talk to your therapist about this.	episode_done:True
text:Advise without permission:You could also look into ways to get more followers to feel further validated in that sense. Advise with permission:	labels:It may be important to also look into ways to get more followers to feel further validated in that sense.	episode_done:True
text:Advise without permission:Doing things that are besides your work might be a great stress reliever. Advise with permission:	labels:I also think it would be valuable for you to start engaging in things outside of the home that make you happy.	episode_done:True
text:Advise without permission:You can take things slow, and just make small conversations with your close friends. Advise with permission:	labels:It would be a good idea to take things slow, and just make small conversations with your close friends.	episode_done:True
text:Advise without permission:If you haven't been able to turn this around on your own, I would strongly encourage you to find a good therapist. Advise with permission:	labels:This is a crucial time for you to potentially seek professional support from a therapist in order to understand yourself and not shut down, if that's what happened before.	episode_done:True
text:Advise without permission:talk to him about it, better than killing yourself over some feelings of jealously. Advise with permission:	labels:I wonder if you can talk to him about it, better than killing yourself over some feelings of jealously.	episode_done:True
text:Advise without permission:share your feelings. Advise with permission:	labels:It may be important to share your feelings.	episode_done:True
text:Advise without permission:If you have kids already, try to get her to go to counseling with you. Advise with permission:	labels:If it is possible, see if he would be willing to go to a counselor with you.	episode_done:True
text:Advise without permission:talk with your boyfriend a lot and try to describe him how you feel. Advise with permission:	labels:I would encourage you to talk with your boyfriend a lot and try to describe him how you feel.	episode_done:True
text:Advise without permission:buy a vacuum cleaner. Advise with permission:	labels:It may be important to buy a vacuum cleaner.	episode_done:True
text:Advise without permission:I find having a circle of friends helps. Advise with permission:	labels:In addition to being open to meeting new friends, involve yourself in projects from which you'll feel satisfied by your own results.	episode_done:True
text:Advise without permission:My advice to you would be to go see a psychiatrist if possible and get a diagnosis. Advise with permission:	labels:I need you to either talk to me about what's happening, or please go see a doctor.	episode_done:True
text:Advise without permission:You should speak to a therapist about this, it could really help you. Advise with permission:	labels:Perhaps you can speak to a therapist about this, it could really help you.	episode_done:True
text:Advise without permission:You should speak to a therapist about this, it could really help you. Advise with permission:	labels:With that being said, seeing a therapist is highly recommended as it sounds like continuous support may be necessary for healing to take place.	episode_done:True
text:Advise without permission:You need to go into monk mode and find yourself. Advise with permission:	labels:I encourage you to go into monk mode and find yourself.	episode_done:True
text:Advise without permission:I’d recommend you seek counseling, he was still human. Advise with permission:	labels:I would highly encourage pre-marital counseling to explore these things and individual counseling for himself to work on fears and anxieties.	episode_done:True
text:Advise without permission:But we have to keep remembering that we are still good and useful people and people love us. Advise with permission:	labels:Surrounding yourself with people who remind you that you are a good person is a great idea.	episode_done:True
text:Advise without permission:You can reset your outlook on life. Advise with permission:	labels:I wonder if you can reset your outlook on life.	episode_done:True
