Epoch,Time taken (sec.),Train loss,Validation accuracy,Test accuracy
1,8974.975415468216,0.5499598,0.5748473917869035,0.6138318534961154
2,8893.090496301651,0.42458,0.6278440621531631,0.6630826859045504
3,8892.221760749817,0.36720312,0.6620421753607103,0.6847599889012208
4,8891.714393854141,0.32169214,0.6753260266370699,0.7202760821309655
5,8889.199146032333,0.2824801,0.6914539400665927,0.7107033851276359
6,8891.643510818481,0.24907564,0.704876526082131,0.7173279689234183
7,8888.269289255142,0.22119935,0.7019977802441731,0.7242647058823529
8,8888.367281913757,0.19756192,0.7042869034406215,0.7277330743618202
9,8888.619924068451,0.17789055,0.7019977802441731,0.7408435072142064
10,8887.453325748444,0.1623097,0.7108421198668146,0.7318604328523862
11,8887.339251756668,0.14980409,0.7171892341842396,0.7401151498335183
12,8881.82064127922,0.14047486,0.7021365149833518,0.7289816870144283
13,8880.7147564888,0.13244556,0.7266925638179801,0.7343576581576027
14,8880.913014888763,0.12540235,0.7114317425083241,0.7390052719200887
15,8873.354015111923,0.12010793,0.7114317425083241,0.7319298002219755
16,8876.156919956207,0.116072774,0.7167383462819089,0.7507283573806881
17,8872.555500268936,0.11140838,0.7067147613762486,0.7408435072142064
18,8872.680213212967,0.108182356,0.7097322419533851,0.728912319644839
19,8874.445875167847,0.10535491,0.7191662042175361,0.754335460599334
20,8870.078844308853,0.102274515,0.7115704772475028,0.7479883462819089
