Epoch,Time taken (sec.),Train loss,Validation accuracy,Test accuracy
1,177.7096710205078,"tf.Tensor(1.7943376, shape=(), dtype=float32)",0.6155313540510544,0.6383185349611542
2,92.30121898651123,"tf.Tensor(1.1209204, shape=(), dtype=float32)",0.6148029966703663,0.6609322974472809
3,92.2752034664154,"tf.Tensor(0.9391908, shape=(), dtype=float32)",0.6495213651498335,0.6826096004439511
4,92.24953603744507,"tf.Tensor(0.7471197, shape=(), dtype=float32)",0.6507006104328523,0.6677302996670367
5,92.26370000839233,"tf.Tensor(0.5748389, shape=(), dtype=float32)",0.656145948945616,0.6595449500554939
6,92.23494052886963,"tf.Tensor(0.41844478, shape=(), dtype=float32)",0.6601345726970033,0.6808407325194229
7,92.29164505004883,"tf.Tensor(0.3002037, shape=(), dtype=float32)",0.6708171476137625,0.683060488346282
8,92.2254536151886,"tf.Tensor(0.21494718, shape=(), dtype=float32)",0.6525388457269701,0.6778926193118757
9,92.15974354743958,"tf.Tensor(0.15917365, shape=(), dtype=float32)",0.6660307991120976,0.6642619311875693
10,92.33733773231506,"tf.Tensor(0.11937241, shape=(), dtype=float32)",0.6560765815760267,0.6778926193118757
11,92.33010745048523,"tf.Tensor(0.09093413, shape=(), dtype=float32)",0.6595449500554939,0.667279411764706
12,92.28978896141052,"tf.Tensor(0.07621397, shape=(), dtype=float32)",0.6490011098779135,0.673834628190899
13,92.09307742118835,"tf.Tensor(0.06757547, shape=(), dtype=float32)",0.6554175915649278,0.6649209211986682
14,92.0511085987091,"tf.Tensor(0.05677861, shape=(), dtype=float32)",0.6572558268590455,0.6691176470588235
15,92.29026079177856,"tf.Tensor(0.05148144, shape=(), dtype=float32)",0.656145948945616,0.6702968923418423
16,92.05679559707642,"tf.Tensor(0.04369319, shape=(), dtype=float32)",0.6554869589345172,0.6744242508324084
17,92.26876783370972,"tf.Tensor(0.037359063, shape=(), dtype=float32)",0.657845449500555,0.6702968923418423
18,92.51128649711609,"tf.Tensor(11.377507, shape=(), dtype=float32)",0.15295504994450612,0.13828385127635962
19,92.28738260269165,"tf.Tensor(26.782484, shape=(), dtype=float32)",0.15295504994450612,0.13828385127635962
20,92.12928247451782,"tf.Tensor(32.766003, shape=(), dtype=float32)",0.15295504994450612,0.13828385127635962
