text:Once you get yourself safe then you can try to help him too.	labels:Perhaps he or she can assist you in navigating through this.	episode_done:True
text:I’d recommend you seek counseling, he was still human.	labels:I would highly encourage pre-marital counseling to explore these things and individual counseling for himself to work on fears and anxieties.	episode_done:True
text:Be patient with yourself.	labels:It's important that you are patient with yourself and tolerant of your discomfort.	episode_done:True
text:Here's the advice I normally give- The relationship is over and it's time to cut them off and move on when you can no longer see being with that person long term/raising children with them/it's not effective for you anymore (ex.	labels:If you get more answers from her which aren't agreeable with you, then it is time to put the hope for this relationship behind you.	episode_done:True
text:I think you should call your doctors office and ask because these thing might be specific from office to office.	labels:I need you to either talk to me about what's happening, or please go see a doctor.	episode_done:True
text:If you can find it in your area, I recommend getting some therapy for PTSD.	labels:If this is the case I strongly recommend individual therapy to begin working through some of these issues.	episode_done:True
text:If you feel this way you should let him know so you guys can sort this out.	labels:And if it can, there needs to be an action plan in place (i. e.  being honest with how he's feeling) so that you both get a chance to rectify the situation.	episode_done:True
text:Believe me honesty is the best policy and he will appreciate you being honest with him and letting him know how you feel currently.	labels:I think he will appreciate your honesty and maybe this conversation will bring you relief and also time to find something you really will enjoy.	episode_done:True
text:Good night, try to get some sleep.	labels:I would encourage you to look up "sleepy hygiene" and try to make your bedtime rituals as relaxing as possible.	episode_done:True
text:if you think it’s really bad though you might wanna get some therapy for your anxiety	labels:If you notice any shakiness, becoming tearful, anxious or aggressive when approaching social encounters, you may want to talk to the school counselor or children’s therapist to evaluate those symptoms and rule out any behavioral problems or social anxiety.	episode_done:True
text:making and taking moments to do things that feel good for yourself and enjoying it like a hot shower or eating your favorite food.	labels:This can be anything with your senses----getting a snack like tea and focusing on that taste, smelling something pleasant, listening to some relaxing music, looking through a magazine, taking a shower.	episode_done:True
text:Real talk you should speak with a counselor or psychiatrist to address any underlying cause.	labels:It can be helpful to address this big "elephant in the room" and talk to your therapist about this.	episode_done:True
text:If will be better if you stop thinking about relationship and try make some good friends and focus on improving yourself.	labels:Give yourself some credit for being awesome and tell yourself you can build new friendships.	episode_done:True
text:Go to therapy and try to join a club of some sort.	labels:I encourage you to meet with a therapist and ask them how they might be able to help you.	episode_done:True
